features,counts
the,56141
and,26291
of,24996
to,23486
is,18681
in,16113
it,12030
that,11786
as,8493
with,7980
for,7359
this,7122
his,7060
film,7002
he,6559
but,6438
on,5485
are,5159
by,4673
be,4513
one,4373
who,4306
movie,4280
an,4222
not,4195
you,4054
was,3680
they,3662
at,3638
from,3636
have,3607
her,3503
has,3480
all,3248
there,2783
so,2779
out,2731
like,2727
about,2629
what,2482
up,2472
she,2469
more,2458
when,2360
or,2339
their,2295
which,2287
some,2195
can,2162
if,2113
just,2094
we,2004
him,1948
into,1904
even,1868
only,1866
than,1846
no,1816
good,1792
time,1747
will,1680
its,1667
most,1660
story,1610
would,1537
much,1515
been,1480
well,1468
get,1465
character,1460
other,1455
do,1445
also,1442
two,1415
them,1382
very,1380
characters,1363
first,1338
after,1326
see,1289
way,1260
because,1252
make,1209
any,1177
had,1172
off,1155
really,1152
does,1149
life,1149
too,1143
films,1139
while,1120
plot,1119
little,1102
how,1100
where,1069
over,1068
people,1062
my,1053
never,1037
could,1036
bad,1033
then,1011
being,1007
man,1006
me,994
doesn,980
scene,978
these,976
best,967
don,958
many,956
scenes,930
new,930
director,920
know,914
such,901
were,893
great,882
here,872
through,863
movies,862
re,860
action,848
another,834
big,823
love,813
go,804
made,802
something,784
still,782
back,778
us,775
end,772
however,767
makes,758
seems,758
world,757
work,752
those,746
now,744
before,720
between,720
better,719
few,709
down,703
real,691
seen,689
every,683
though,672
year,668
take,667
around,667
going,665
both,660
why,656
old,655
role,654
ve,651
isn,651
enough,651
should,650
same,649
audience,647
your,647
gets,643
years,642
look,639
performance,636
comedy,633
think,631
last,628
may,626
funny,618
own,617
almost,617
right,615
long,612
nothing,612
fact,597
say,595
things,594
actually,593
ever,592
played,590
find,590
although,587
come,586
john,582
did,572
thing,568
script,567
cast,559
since,555
star,550
original,550
show,546
plays,546
actors,540
part,539
screen,537
comes,535
without,531
young,527
each,526
takes,522
three,515
lot,512
acting,512
again,510
quite,510
day,506
course,497
family,497
away,494
guy,484
point,483
least,482
during,482
himself,477
far,476
might,466
effects,465
goes,465
yet,456
anything,456
rather,455
making,451
minutes,451
place,447
watch,446
interesting,446
must,443
high,442
hollywood,440
always,436
fun,434
give,434
men,432
job,432
set,431
our,431
once,428
trying,428
times,427
series,425
wife,425
ll,424
sense,423
woman,422
picture,421
hard,420
probably,418
home,417
special,415
bit,412
kind,412
help,411
didn,411
pretty,411
want,411
seem,409
having,405
actor,398
dialogue,396
sure,392
money,390
black,390
together,389
become,387
along,387
becomes,387
half,386
given,383
instead,380
watching,379
american,378
feel,375
wants,364
everything,361
gives,360
perhaps,360
father,357
next,357
everyone,356
sex,355
done,355
looking,350
got,350
reason,350
moments,349
less,347
whole,345
city,344
horror,342
play,341
10,340
whose,338
mother,336
different,335
death,332
looks,332
mind,331
put,330
music,330
especially,329
performances,324
several,323
alien,321
ending,321
anyone,320
line,320
thought,320
let,320
couple,320
small,317
until,316
michael,316
simply,316
james,315
human,313
shows,313
case,312
main,310
night,309
friend,307
left,306
itself,306
rest,305
true,304
girl,304
second,304
humor,303
top,303
getting,303
name,302
soon,302
stars,302
someone,302
tv,301
lost,300
completely,299
turns,299
evil,298
war,297
either,297
use,295
problem,295
town,294
found,294
written,293
dead,292
comic,289
called,288
head,286
entire,286
run,286
unfortunately,286
often,286
begins,285
based,284
else,283
friends,283
group,283
named,281
david,280
boy,279
wrong,279
later,278
said,278
relationship,277
final,276
hand,276
against,275
used,274
idea,273
house,272
sequence,271
finally,271
live,271
believe,270
turn,269
book,268
tries,268
school,268
seeing,265
certainly,264
children,264
person,263
under,262
doing,262
full,262
son,262
face,262
works,261
behind,259
tell,257
hour,257
despite,256
keep,256
maybe,255
lives,254
game,254
finds,253
including,251
worth,251
perfect,251
video,250
summer,248
playing,247
car,246
kids,245
able,245
shot,245
won,245
supposed,244
past,244
style,244
side,244
lines,243
entertaining,243
earth,241
care,241
running,241
nice,239
writer,238
worst,238
moment,237
opening,235
try,233
violence,233
disney,233
fight,232
dark,232
daughter,231
short,231
self,230
need,230
directed,230
killer,230
version,229
start,229
problems,229
mr,229
major,228
upon,227
starts,227
nearly,227
white,226
screenplay,226
kevin,225
camera,225
review,224
beautiful,223
robert,223
fine,223
early,221
matter,221
hit,220
obvious,220
days,219
classic,219
order,218
roles,218
voice,217
throughout,217
already,216
title,214
example,214
wasn,214
truly,214
five,213
computer,213
sequences,213
knows,212
others,211
themselves,210
eyes,210
oscar,210
team,209
act,209
sometimes,209
supporting,208
production,207
drama,207
deep,206
novel,205
jack,205
close,204
level,204
body,204
save,204
romantic,203
exactly,203
king,203
heart,203
says,202
brother,202
aren,202
direction,202
jackie,202
question,202
guys,202
women,201
stop,200
jokes,200
boring,200
child,200
possible,200
coming,199
room,199
simple,198
four,198
tells,198
known,197
happens,197
tom,196
genre,196
dog,196
husband,196
saw,196
sort,196
material,194
eventually,194
paul,193
beginning,192
involving,191
fiction,191
joe,190
kill,190
career,189
ship,189
quickly,189
hero,189
aliens,189
scream,188
thriller,188
leads,187
strong,187
god,187
hope,187
peter,187
attempt,187
chris,186
york,186
stupid,186
lee,186
note,186
result,185
extremely,184
piece,184
sets,183
taking,183
ryan,183
worse,183
girls,183
fans,183
co,182
police,182
mostly,182
hell,182
fall,181
science,181
television,181
yes,180
meet,180
murder,180
manages,179
theater,179
wonder,179
particularly,178
appears,178
involved,178
lead,178
power,178
living,177
guess,177
word,177
lack,177
falls,177
elements,177
single,176
usually,176
bring,176
none,176
future,176
jones,176
attention,175
mean,175
ends,175
talk,175
george,174
laugh,174
de,174
battle,174
planet,173
happy,173
feeling,173
feature,173
wild,172
hours,171
tale,171
late,171
chance,170
form,169
smith,169
obviously,169
william,169
whether,169
dr,169
talent,169
taken,168
among,168
sequel,167
needs,167
space,167
experience,167
killed,167
interest,167
easy,166
wonderful,166
forced,166
art,165
within,165
across,165
emotional,164
laughs,164
alone,163
sound,163
change,163
enjoy,162
girlfriend,162
batman,162
turned,161
expect,161
somehow,161
serious,161
attempts,161
deal,161
mystery,160
leave,160
released,159
middle,159
impressive,159
features,159
basically,159
popular,159
recent,159
told,158
van,158
important,158
call,157
poor,157
feels,157
parts,157
words,156
rock,156
number,156
surprise,156
events,156
premise,156
ben,156
blood,155
apparently,155
working,155
giving,155
entertainment,155
release,155
local,155
presence,154
remember,154
reality,154
seemed,154
meets,154
success,154
viewer,153
ago,153
complete,153
went,153
gone,153
credits,153
fast,153
oh,153
office,153
hilarious,153
crime,153
america,152
near,152
am,152
certain,152
happen,151
cop,151
parents,151
quality,151
type,151
score,151
straight,151
except,151
difficult,151
smart,151
business,150
herself,150
rich,150
runs,150
easily,149
ways,149
project,149
die,149
cut,148
slow,148
brings,148
flick,148
brothers,148
filmmakers,148
talking,148
light,148
animated,147
figure,147
red,147
robin,147
whom,146
martin,146
using,146
history,146
doubt,145
sexual,145
somewhat,145
message,145
uses,145
minute,144
begin,144
surprisingly,144
return,144
effective,144
definitely,144
previous,143
stuff,143
excellent,143
cool,142
personal,142
questions,142
absolutely,142
beyond,141
secret,141
wouldn,141
villain,141
murphy,141
general,141
dramatic,141
powerful,141
harry,140
scary,140
visual,140
anyway,140
giant,140
strange,140
present,139
romance,139
company,139
crew,139
suspense,138
brilliant,138
shots,138
intelligent,137
age,137
motion,137
kid,137
writing,137
latest,137
decides,136
couldn,136
former,136
likely,136
huge,136
read,136
law,136
similar,136
annoying,136
came,135
follow,135
myself,135
usual,135
create,135
means,134
bob,134
successful,134
ones,134
million,134
situation,134
seriously,133
due,133
above,133
box,133
moving,133
nor,133
stone,133
clever,133
starring,133
budget,133
realize,132
bill,132
third,132
sweet,131
immediately,131
bruce,131
add,130
amazing,130
prison,130
large,130
heard,130
familiar,130
bunch,130
stories,130
low,130
mark,129
williams,129
sam,129
understand,129
clear,129
class,129
actress,129
wars,128
eye,128
water,128
break,128
cinema,127
felt,127
potential,127
jim,127
created,127
following,127
opens,126
married,126
learn,126
agent,125
plan,125
nature,125
unlike,125
chase,125
fan,125
filled,125
leaves,124
park,124
private,124
mess,124
view,124
perfectly,124
exciting,124
non,123
mission,123
joke,123
country,123
cold,123
leaving,122
happened,122
towards,122
follows,121
pay,121
predictable,121
solid,121
allen,121
points,121
escape,121
stay,121
party,120
audiences,120
move,120
animation,120
terrible,120
richard,120
dumb,119
brought,119
saying,119
viewers,119
talented,119
drug,119
key,119
frank,118
neither,118
impossible,118
thinking,118
state,118
showing,118
political,118
keeps,118
ex,118
various,117
element,117
beauty,117
effort,117
favorite,117
haven,117
society,117
slightly,116
dream,116
appear,116
soundtrack,116
fails,115
open,115
army,115
took,115
today,115
disaster,115
overall,115
silly,114
rated,114
stand,114
merely,113
cinematic,113
credit,113
bond,113
inside,113
actual,113
tim,113
air,112
liked,112
list,112
members,112
steve,112
tough,112
greatest,112
enjoyable,112
waste,112
situations,112
lots,112
gun,112
simon,112
particular,112
indeed,112
otherwise,111
memorable,111
nick,111
musical,111
woody,111
eddie,110
decent,110
violent,110
english,110
force,110
trouble,110
studio,110
subject,110
sit,110
british,110
offers,109
wrote,109
effect,109
heavy,109
hands,109
wedding,109
biggest,109
cameron,109
ultimately,109
government,109
street,109
humans,108
max,108
rating,108
truth,108
baby,108
six,108
chan,108
west,108
dreams,107
master,107
wanted,107
fire,107
convincing,107
queen,107
fear,107
cinematography,107
carter,106
modern,106
expected,106
ten,106
ability,106
song,106
thinks,105
free,105
female,105
screenwriter,105
fi,105
constantly,105
depth,105
sci,104
sister,104
willis,104
scott,104
control,104
sight,104
sean,104
ideas,104
puts,104
hold,104
approach,104
subtle,104
impact,104
spend,104
minor,103
double,103
atmosphere,103
suddenly,103
charm,103
sees,103
ii,103
island,103
cannot,103
purpose,103
spent,102
common,102
brown,102
trailer,102
further,101
plenty,101
meanwhile,101
language,101
earlier,101
titanic,101
teen,101
complex,100
wait,100
amount,100
tone,100
sounds,100
recently,100
front,100
casting,100
entirely,100
delivers,100
miss,100
quick,100
ask,100
dull,100
background,99
cute,99
whatever,99
energy,99
college,99
choice,99
knew,99
cheap,99
killing,98
brief,98
outside,98
spielberg,98
flat,98
focus,98
000,98
ridiculous,98
typical,97
ground,97
grace,97
wish,97
blue,97
century,97
gave,97
aspect,97
tarantino,97
believable,97
carrey,96
hear,96
mary,96
asks,96
proves,96
race,96
jackson,95
member,95
occasionally,95
theme,95
chemistry,95
moves,95
interested,95
highly,95
french,95
shoot,95
clearly,95
truman,95
famous,95
date,94
forget,94
1998,94
hate,94
somewhere,94
tension,94
officer,94
intelligence,94
provide,93
etc,93
central,93
thin,93
trip,93
bizarre,93
loud,93
seven,93
telling,93
fairly,93
writers,93
yourself,93
subplot,93
longer,93
critics,93
amusing,93
imagine,93
reasons,92
pace,92
producer,92
adds,92
partner,92
becoming,92
climax,92
travolta,92
directing,92
realistic,92
awful,91
normal,91
considering,91
appearance,91
band,91
remains,91
totally,91
learns,91
setting,91
alive,91
caught,90
carry,90
leader,90
deserves,90
average,90
steven,90
hot,90
store,89
boss,89
produced,89
road,89
thanks,89
boys,89
unique,89
jennifer,89
1997,89
shown,89
lies,88
basic,88
personality,88
club,88
period,88
mouth,88
apart,88
write,88
incredibly,88
julia,88
dies,88
machine,88
ready,88
manner,88
seemingly,88
detective,88
hardly,88
green,88
cage,87
needed,87
touch,87
catch,87
pull,87
looked,87
introduced,87
singer,87
aside,87
details,87
twenty,87
godzilla,87
discovers,87
powers,87
adventure,87
possibly,87
jr,86
include,86
search,86
lame,86
system,86
ass,86
door,86
returns,86
ride,86
blade,86
jean,86
jerry,86
la,85
event,85
doctor,85
share,85
gay,85
directors,85
elizabeth,85
building,85
wise,85
forward,85
provides,85
stands,85
contains,85
mike,85
president,85
menace,85
okay,85
twists,85
dance,85
worked,85
cover,85
laughing,85
pop,84
sent,84
mysterious,84
admit,84
apartment,84
songs,84
charles,84
storyline,84
slowly,84
thus,84
christopher,84
victim,84
loved,84
lucas,84
led,83
images,83
species,83
pictures,83
rate,83
leading,83
billy,83
julie,83
barely,83
social,83
surprised,83
male,83
gibson,83
trek,83
fox,83
offer,82
development,82
tarzan,82
saving,82
missing,82
danny,82
spice,82
fresh,82
conclusion,82
changes,82
creates,81
monster,81
fantasy,81
horrible,81
gags,81
decide,81
win,81
forces,81
opportunity,81
waiting,81
student,81
throw,80
hair,80
months,80
gore,80
fair,80
states,80
wasted,80
enjoyed,80
kiss,80
concept,80
decided,80
image,80
became,80
flaws,80
week,80
patrick,80
pair,80
odd,79
news,79
mulan,79
hong,79
tried,79
equally,79
terrific,79
camp,79
chinese,79
hanks,79
thrown,79
toy,79
innocent,79
douglas,79
fully,78
bright,78
mention,78
edge,78
intended,78
buy,78
cross,78
food,78
train,78
christmas,78
expectations,78
rush,78
twist,78
crazy,78
arts,78
winning,78
alan,78
rare,78
opinion,78
vampire,78
rarely,77
inspired,77
culture,77
standard,77
hasn,77
detail,77
shakespeare,77
debut,77
twice,77
episode,77
90,77
addition,77
martial,77
spawn,77
mars,77
meaning,77
jason,77
pulp,77
stephen,77
older,77
hill,77
exception,76
witch,76
affair,76
consider,76
younger,76
soldiers,76
matthew,76
desperate,76
generation,76
land,76
russell,76
wide,76
angry,76
weird,76
filmed,76
asked,76
answer,76
accident,76
fighting,75
latter,75
tommy,75
mood,75
jay,75
calls,75
numerous,75
length,75
sad,75
flying,75
angels,75
princess,75
discover,75
wit,75
please,75
unless,75
rescue,75
boyfriend,75
affleck,74
fbi,74
lawyer,74
captain,74
respect,74
artist,74
likes,74
jeff,74
developed,74
creepy,74
explain,74
fellow,74
recommend,74
footage,74
track,74
includes,74
literally,74
cause,74
speaking,74
attack,74
cameo,74
creating,74
lose,74
dude,74
rules,74
sitting,74
military,73
edward,73
owner,73
woo,73
appealing,73
spectacular,73
terms,73
hits,73
pain,73
prove,73
revenge,73
reviews,73
toward,73
speak,73
onto,73
walk,73
public,73
phantom,73
adult,73
spirit,72
avoid,72
20,72
presented,72
incredible,72
nicely,72
apparent,72
appeal,72
baldwin,72
cops,72
surprising,72
involves,72
mrs,72
considered,72
rob,72
places,72
teacher,72
academy,72
charming,72
witty,72
blair,72
information,72
adults,71
marriage,71
pick,71
drive,71
mentioned,71
dimensional,71
seagal,71
roger,71
keeping,71
formula,71
wall,71
charlie,71
total,71
cliches,71
necessary,70
nowhere,70
pure,70
teenage,70
bottom,70
constant,70
difference,70
editing,70
genuine,70
ray,70
award,70
pointless,70
remake,70
crap,70
lover,70
dennis,70
fascinating,70
filmmaking,70
lynch,70
continues,70
pass,70
1999,70
price,69
rent,69
criminal,69
kept,69
relationships,69
opposite,69
pieces,69
intriguing,69
generally,69
poorly,69
weak,69
physical,69
themes,69
mel,69
natural,69
fashion,69
suspect,69
appreciate,69
task,69
shallow,69
heroes,69
faces,69
comedic,69
contact,69
forever,69
anderson,69
technical,69
satire,69
holds,68
ghost,68
product,68
moral,68
count,68
epic,68
bored,68
stage,68
disturbing,68
loves,68
talents,68
adaptation,68
sign,68
graphic,68
guns,68
disappointing,68
plans,68
names,68
stuck,68
added,68
anti,68
drawn,68
worthy,68
failed,67
theaters,67
fat,67
ups,67
journey,67
rose,67
johnny,67
jane,67
hotel,67
masterpiece,67
loses,67
troopers,67
portrayal,67
comedies,67
touching,67
emotions,67
driver,67
matrix,67
lacks,67
born,67
100,67
results,67
gang,67
fantastic,66
frightening,66
al,66
confusing,66
exist,66
attitude,66
superior,66
phone,66
vegas,66
sympathetic,66
hall,66
humorous,66
shooting,66
brain,66
clooney,66
japanese,66
deliver,66
safe,66
virtually,66
decision,66
wonderfully,66
cartoon,66
appropriate,66
cares,66
faith,65
match,65
suppose,65
bringing,65
burton,65
managed,65
south,65
ok,65
ed,65
plain,65
compelling,65
viewing,65
compared,65
pathetic,65
dangerous,65
naked,65
ripley,65
hoping,65
fate,65
blame,65
magic,65
ice,65
tony,65
spends,65
sadly,65
survive,65
board,65
confused,65
therefore,65
meant,65
helen,65
emotion,64
roberts,64
13,64
boat,64
matt,64
rocky,64
device,64
accent,64
turning,64
available,64
soul,64
station,64
suspects,64
players,64
teenagers,64
target,64
feelings,64
issues,64
reading,63
nobody,63
henry,63
pg,63
haunting,63
speech,63
scale,63
nights,63
verhoeven,63
lady,63
gold,63
snake,63
stunning,63
united,63
williamson,63
silent,63
believes,63
shame,63
sexy,63
post,63
kong,63
crowd,62
decade,62
filmmaker,62
taste,62
allow,62
finding,62
serial,62
documentary,62
allows,62
heads,62
serve,62
kelly,62
nasty,62
goofy,62
pleasure,62
anna,62
