features,counts
the,55998
and,26122
of,24880
to,23368
is,18668
in,15933
it,13634
that,11188
film,8076
with,7970
for,7325
this,7112
his,7051
he,6484
but,6399
on,5391
are,5158
movie,5061
by,4643
be,4452
one,4314
who,4289
an,4216
not,4157
wa,3677
from,3631
at,3619
have,3608
ha,3498
her,3491
you,3375
they,3236
all,3166
character,2804
there,2774
so,2707
like,2694
about,2625
out,2583
more,2455
when,2358
or,2303
their,2293
what,2291
which,2284
up,2256
some,2195
she,2119
if,2106
just,2090
time,2089
get,2087
him,1946
make,1931
into,1902
scene,1880
even,1863
only,1858
than,1819
no,1771
good,1741
story,1723
we,1708
will,1682
can,1674
most,1656
much,1495
would,1483
been,1477
also,1441
other,1439
do,1424
way,1388
them,1382
very,1379
see,1377
two,1354
life,1327
after,1320
well,1312
first,1291
because,1252
go,1246
year,1206
any,1176
take,1173
had,1170
really,1157
doe,1155
thing,1154
plot,1125
too,1119
know,1119
while,1118
come,1118
little,1098
how,1094
people,1072
were,1069
my,1051
where,1041
off,1037
never,1031
being,1026
bad,1017
could,1008
work,1001
then,999
me,989
doesnt,978
these,974
man,974
look,968
over,963
performance,959
many,957
best,945
end,931
new,920
actor,920
such,899
dont,896
director,896
great,881
play,880
here,870
role,863
love,862
through,855
show,847
find,841
action,837
another,827
say,797
give,794
something,779
still,778
star,777
want,772
back,765
however,764
audience,762
made,759
seems,758
world,755
big,749
those,744
now,733
think,732
better,717
before,717
between,711
few,709
seen,698
part,690
every,682
day,677
comedy,673
guy,669
though,668
around,661
down,659
both,659
going,656
why,653
real,651
isnt,651
enough,650
same,648
should,643
last,633
your,632
right,626
lot,624
may,623
fact,619
woman,616
own,615
almost,609
nothing,608
funny,608
point,591
actually,591
played,587
although,587
script,585
thats,584
moment,581
john,580
friend,579
did,572
set,569
minute,568
cast,567
ever,565
turn,562
effect,558
since,555
original,555
old,553
long,547
line,542
without,530
young,525
family,524
problem,522
each,522
place,515
feel,512
quite,509
acting,507
alien,506
picture,502
again,501
try,500
course,499
screen,491
cant,491
away,489
least,482
sequence,481
during,481
himself,477
three,470
job,470
watch,469
im,466
help,465
girl,465
far,458
might,457
anything,456
rather,454
start,452
yet,450
tell,450
bit,443
interesting,442
reason,441
must,434
our,431
kind,431
hollywood,431
begin,429
always,429
put,428
making,428
trying,427
men,427
home,425
fun,424
sense,422
wife,420
series,418
probably,418
child,415
war,410
once,410
special,409
seem,409
didnt,409
run,408
pretty,408
human,404
having,404
need,397
dialogue,396
hour,392
sure,387
becomes,387
become,386
along,385
money,384
black,384
given,383
together,382
american,381
instead,380
watching,377
kid,377
keep,374
shot,372
idea,371
lead,362
let,360
le,360
night,359
name,358
hard,358
high,357
everything,357
perhaps,354
next,353
fall,351
got,350
mind,349
city,348
hand,347
ending,346
whole,345
relationship,345
boy,345
attempt,345
question,344
brother,344
father,343
done,343
sex,342
death,342
couple,338
case,338
whose,336
thought,334
second,334
different,334
meet,329
music,328
everyone,328
especially,328
horror,327
word,325
theyre,324
laugh,324
head,323
several,321
mother,320
feature,320
michael,319
simply,316
until,315
book,315
james,314
shes,312
rest,311
main,310
anyone,310
eye,309
left,306
itself,304
group,304
care,304
ive,302
getting,302
small,301
humor,301
mr,300
game,300
evil,300
someone,299
completely,298
review,296
lost,296
looking,296
either,296
joke,295
fan,295
found,294
use,293
element,293
hit,292
mean,291
half,291
soon,290
comic,290
town,289
car,289
true,288
face,288
unfortunately,286
entire,284
robert,283
house,281
often,279
fight,279
tv,278
said,278
later,278
final,277
wrong,276
david,276
named,273
viewer,272
against,272
matter,271
finally,271
used,270
else,270
side,268
believe,268
based,268
seeing,264
person,264
called,264
dead,263
certainly,263
son,262
credit,262
written,261
school,261
doing,260
act,259
sound,258
youre,256
under,255
maybe,255
killer,255
despite,255
classic,253
behind,253
video,252
result,252
power,252
summer,251
including,250
hero,248
situation,246
version,245
perfect,245
past,245
order,245
camera,245
able,245
supposed,244
kill,244
worth,243
piece,243
lack,243
entertaining,242
change,242
theater,241
event,240
example,239
worst,238
playing,238
live,238
hope,237
feeling,237
daughter,237
running,235
talent,234
opening,233
nice,233
body,233
screenplay,232
call,232
voice,230
violence,230
top,230
return,230
open,230
dark,230
save,229
major,229
murder,228
art,228
upon,226
directed,226
sort,225
nearly,225
earth,225
dog,225
others,224
title,223
talk,223
short,223
writer,222
style,222
room,222
fine,222
filmmaker,222
add,222
team,221
scream,220
drama,220
disney,220
king,219
full,218
stop,217
novel,217
beautiful,217
throughout,215
production,215
obvious,215
level,215
kevin,215
early,215
dream,215
wonder,214
wasnt,214
truly,214
direction,214
thriller,213
sequel,213
move,213
already,213
ship,211
heart,210
themselves,209
deal,209
white,207
surprise,207
supporting,207
note,205
member,205
experience,204
exactly,204
sometimes,202
cop,202
career,202
battle,201
arent,201
possible,200
material,200
jack,200
hell,200
flick,200
genre,199
form,199
boring,199
figure,198
oscar,197
husband,197
happens,197
tom,196
saw,196
deep,196
tale,195
simple,195
romantic,195
eventually,194
villain,193
plan,193
beginning,192
peter,191
offer,191
involving,191
state,190
planet,190
computer,190
coming,190
present,189
paul,189
number,189
chance,188
wont,187
television,187
york,186
stupid,185
song,185
quickly,185
project,185
whats,184
lee,184
god,184
four,184
extremely,184
chris,184
quality,183
force,183
strong,182
interest,182
taking,181
five,181
worse,180
police,180
known,180
joe,180
guess,180
manages,179
jackie,179
stand,178
parent,178
mostly,178
close,178
attention,178
appears,178
ryan,177
particularly,177
yes,176
involved,176
bring,176
future,175
break,175
usually,174
george,174
youll,172
living,172
fiction,172
space,171
wild,170
rock,170
gun,170
none,169
message,169
girlfriend,169
dr,169
crime,169
whether,168
taken,168
obviously,168
cut,168
smith,167
among,167
wonderful,166
mystery,166
local,166
hold,166
de,166
secret,165
killed,165
forced,165
single,164
science,164
late,164
effort,164
chase,164
across,164
success,163
release,163
read,163
happy,163
emotional,163
easy,163
detail,163
theme,162
score,162
premise,162
enjoy,162
within,161
somehow,161
image,161
alone,161
mark,160
expect,160
batman,160
agent,160
william,159
twist,159
recent,159
leave,159
type,158
reality,158
impressive,158
drug,158
basically,158
aspect,157
serious,156
van,155
presence,155
escape,155
doubt,155
ben,155
apparently,155
am,155
told,154
remember,154
released,154
popular,154
light,154
hilarious,154
went,153
seemed,153
jones,153
important,153
giving,153
entertainment,153
complete,153
ago,153
actress,153
stay,152
poor,152
million,152
id,152
happen,152
america,152
ill,151
difficult,151
certain,151
age,151
blood,150
working,149
street,149
history,149
business,149
studio,148
herself,148
except,148
company,148
brings,148
rich,147
youve,146
whom,146
us,146
romance,146
robin,146
martin,146
easily,146
turned,145
screenwriter,145
gone,145
using,144
somewhat,144
definitely,144
stuff,143
previous,143
oh,143
giant,143
excellent,143
effective,143
surprisingly,142
smart,142
middle,142
general,142
adult,142
absolutely,142
wouldnt,141
water,141
personal,141
murphy,141
bill,141
ability,141
visual,140
view,140
crew,140
beyond,140
williams,139
strange,139
scary,139
producer,139
dramatic,139
anyway,139
powerful,138
motion,138
brilliant,138
trailer,137
sexual,137
latest,137
die,137
critic,137
stone,136
similar,136
likely,136
intelligent,136
fear,136
decides,136
annoying,136
animated,136
red,135
myself,135
huge,135
cool,135
came,135
usual,134
office,134
former,134
due,134
bob,134
talking,133
suspect,133
subject,133
park,133
nor,133
create,133
cinema,133
choice,133
writing,132
trouble,132
successful,132
realize,132
pay,132
focus,132
couldnt,132
clever,132
victim,131
seriously,131
party,131
immediately,131
bruce,131
straight,130
pull,130
near,130
musical,130
emotion,130
carry,130
bunch,130
understand,129
suspense,129
sam,129
heard,129
country,129
clear,129
third,128
th,128
prison,128
mission,128
following,128
familiar,128
angel,128
sweet,127
starring,127
favorite,127
amazing,127
potential,126
mess,126
master,126
learn,126
leaf,126
large,126
felt,126
appearance,126
unlike,125
touch,125
approach,125
above,125
rating,124
perfectly,124
moving,124
married,124
jim,124
flaw,124
exciting,124
answer,124
soldier,123
private,123
nature,123
la,123
wish,122
towards,122
leaving,122
door,122
disaster,122
created,122
army,122
wedding,121
waste,121
sister,121
sight,121
saying,121
happened,121
follows,121
allen,121
week,120
showing,120
predictable,120
lie,120
class,120
bond,120
amount,120
soundtrack,119
solid,119
slow,119
